page_name,page_id,post_id,message,created_time,likes,comments,shares
JCMP Engineering Services,114693351675224,114693351675224_730817536729857,"Family Area 

‎#JCMPEngineeringServices #BuildingExcellence #InnovatingTheFutureOfDesign #ConstructionPH 
‎#EngineeringSolutions
‎#BacolodConstruction
‎#HouseRenovation
‎#BacolodContractor
‎#FitoutWorks
‎#PlumbingWorks
‎#ElectricalWorks
‎#QualityWorks",2025-12-02T05:54:38+0000,1,0,2
JCMP Engineering Services,114693351675224,114693351675224_730271300117814,"‎#JCMPEngineeringServices #BuildingExcellence #InnovatingTheFutureOfDesign #ConstructionPH 
‎#EngineeringSolutions
‎#BacolodConstruction
‎#HouseRenovation
‎#BacolodContractor
‎#FitoutWorks
‎#PlumbingWorks
‎#ElectricalWorks
‎#QualityWorks
‎",2025-12-01T11:41:00+0000,1,0,2
JCMP Engineering Services,114693351675224,114693351675224_727748413703436,"‎#JCMPEngineeringServices #BuildingExcellence #InnovatingTheFutureOfDesign #ConstructionPH 
‎#EngineeringSolutions
‎#BacolodConstruction
‎#HouseRenovation
‎#BacolodContractor
‎#FitoutWorks
‎#PlumbingWorks
‎#ElectricalWorks
‎#QualityWorks",2025-11-27T22:01:10+0000,3,0,2
JCMP Engineering Services,114693351675224,114693351675224_2109039569900676,JCMP Engineering Services updated their cover photo.,2025-11-27T01:23:11+0000,2,0,0
JCMP Engineering Services,114693351675224,114693351675224_727100667101544,"#JCMPEngineeringServices #BuildingExcellence #InnovatingTheFutureOfDesign #ConstructionPH 
‎#EngineeringSolutions
‎#BacolodConstruction
‎#HouseRenovation
‎#BacolodContractor
‎#FitoutWorks
‎#PlumbingWorks
‎#ElectricalWorks
‎#QualityWorks",2025-11-27T01:10:25+0000,0,0,0
JCMP Engineering Services,114693351675224,114693351675224_726642033814074,"Lights on 

@highlights
‎#JCMPEngineeringServices #BuildingExcellence #InnovatingTheFutureOfDesign #ConstructionPH 
‎#EngineeringSolutions
‎#BacolodConstruction
‎#HouseRenovation
‎#BacolodContractor
‎#FitoutWorks
‎#PlumbingWorks
‎#ElectricalWorks
‎#QualityWorks",2025-11-26T10:45:18+0000,1,0,2
JCMP Engineering Services,114693351675224,114693351675224_725660243912253,"👌👌👌👷‍♂️👷‍♂️👷‍♂️

‎#JCMPEngineeringServices #BuildingExcellence #InnovatingTheFutureOfDesign #ConstructionPH 
‎#EngineeringSolutions
‎#BacolodConstruction
‎#HouseRenovation
‎#BacolodContractor
‎#FitoutWorks
‎#PlumbingWorks
‎#ElectricalWorks
‎#QualityWorks",2025-11-25T03:30:55+0000,1,0,6
JCMP Engineering Services,114693351675224,114693351675224_724070587404552,"TURN YOUR DREAM HOUSE INTO REALITY!

We are your trusted partner in:
Construction • Design • Renovation

OUR SERVICES:
✨ Architectural & Structural Design
✨ Full Construction & Home Renovation
✨ Structural Works
✨ Interior & Exterior Fit-Out
✨ Plumbing & Electrical Works

WHY CHOOSE US?
✔ Professional Work Standards
✔ Quality Workmanship
✔ On-Time Project Delivery
✔ Modern & Durable Designs

Contact us at: 0951 751 7046

Message us for FREE consultation!

‎#JCMPEngineeringServices #BuildingExcellence #InnovatingTheFutureOfDesign #ConstructionPH 
‎#EngineeringSolutions
‎#BacolodConstruction
‎#HouseRenovation
‎#BacolodContractor
‎#FitoutWorks
‎#PlumbingWorks
‎#ElectricalWorks
‎#QualityWorks",2025-11-23T03:50:00+0000,0,0,8
JCMP Engineering Services,114693351675224,114693351675224_723759040769040,"#JCMPEngineeringServices #BuildingExcellence #InnovatingTheFutureOfDesign #ConstructionPH 
‎#EngineeringSolutions
‎#BacolodConstruction
‎#HouseRenovation
#qualityworks",2025-11-22T14:42:05+0000,0,0,2
JCMP Engineering Services,114693351675224,114693351675224_723489507462660,"Masters Bedroom w/ T&B

#JCMPEngineeringServices #BuildingExcellence #InnovatingTheFutureOfDesign #ConstructionPH 
‎#EngineeringSolutions
‎#BacolodConstruction
‎#HouseRenovation
#plumbingservices 
#electricalservices 
#fitoutcontractor 
#ConstructionDesign",2025-11-22T06:36:29+0000,0,0,3
JCMP Engineering Services,114693351675224,114693351675224_721725450972399,"👌👌👌👷‍♂️👷‍♂️👷‍♂️

‎#JCMPEngineeringServices #BuildingExcellence #InnovatingTheFutureOfDesign #ConstructionPH 
‎#EngineeringSolutions
‎#BacolodConstruction
‎#HouseRenovation",2025-11-20T03:50:00+0000,3,2,4
JCMP Engineering Services,114693351675224,114693351675224_721145621030382,"Before & After 
: Motorcycle Parking Area

‎#JCMPEngineeringServices #BuildingExcellence #InnovatingTheFutureOfDesign #ConstructionPH 
‎#EngineeringSolutions
‎#BacolodConstruction
‎#HouseRenovation",2025-11-19T06:13:16+0000,1,0,2
JCMP Engineering Services,114693351675224,114693351675224_719808657830745,"Lights on 💡💡💡💡💡

‎#JCMPEngineeringServices #BuildingExcellence #InnovatingTheFutureOfDesign #ConstructionPH 
‎#EngineeringSolutions
‎#BacolodConstruction
‎#HouseRenovation",2025-11-17T10:55:44+0000,2,1,2
JCMP Engineering Services,114693351675224,114693351675224_716358588175752,"Before & After
: Dining Area

‎#JCMPEngineeringServices #BuildingExcellence #InnovatingTheFutureOfDesign #ConstructionPH 
‎#EngineeringSolutions
‎#BacolodConstruction
‎#HouseRenovation",2025-11-13T22:30:00+0000,1,0,2
JCMP Engineering Services,114693351675224,114693351675224_714320335046244,"Before & After 
: Kitchen Area 

‎#JCMPEngineeringServices #BuildingExcellence #InnovatingTheFutureOfDesign #ConstructionPH 
‎#EngineeringSolutions
‎#BacolodConstruction
‎#HouseRenovation",2025-11-11T22:30:01+0000,1,0,3
JCMP Engineering Services,114693351675224,114693351675224_714323598379251,"Sample Modern Design using AI
👌👌👌

‎#JCMPEngineeringServices #BuildingExcellence #InnovatingTheFutureOfDesign #ConstructionPH 
‎#EngineeringSolutions
‎#BacolodConstruction
‎#HouseRenovation
#elegant",2025-11-10T22:30:00+0000,2,1,1
JCMP Engineering Services,114693351675224,114693351675224_712564068555204,"Before & After
: Living Area

‎#JCMPEngineeringServices #BuildingExcellence #InnovatingTheFutureOfDesign #ConstructionPH 
‎#EngineeringSolutions
‎#BacolodConstruction
‎#HouseRenovation
#QualityWork",2025-11-09T22:30:01+0000,0,0,2
JCMP Engineering Services,114693351675224,114693351675224_710696935408584,"Before & After
: Stairs (Lower level)

‎#JCMPEngineeringServices #BuildingExcellence #InnovatingTheFutureOfDesign #ConstructionPH 
‎#EngineeringSolutions
‎#BacolodConstruction
‎#HouseRenovation",2025-11-08T00:30:00+0000,0,0,2
JCMP Engineering Services,114693351675224,114693351675224_710665958745015,"Before & After 
: Back door access Area
: Dirty Kitchen Area 

‎#JCMPEngineeringServices #BuildingExcellence #InnovatingTheFutureOfDesign #ConstructionPH 
‎#EngineeringSolutions
‎#BacolodConstruction
‎#HouseRenovation",2025-11-06T07:37:09+0000,2,0,3
JCMP Engineering Services,114693351675224,114693351675224_708029965675281,"Before & After
: Receiving Area

#JCMPEngineeringServices #BuildingExcellence #InnovatingTheFutureOfDesign #ConstructionPH 
‎#EngineeringSolutions
‎#BacolodConstruction
‎#HouseRenovation",2025-11-03T04:36:45+0000,2,0,3
JCMP Engineering Services,114693351675224,114693351675224_705435572601387,"Before & After 

Joevan C. Ponce 
Christine Simene 

‎#JCMPEngineeringServices #BuildingExcellence #InnovatingTheFutureOfDesign #ConstructionPH 
‎#EngineeringSolutions
‎#BacolodConstruction
‎#HouseRenovation",2025-10-31T05:12:54+0000,4,0,2
JCMP Engineering Services,114693351675224,114693351675224_703931629418448,"Before & After

‎#JCMPEngineeringServices #BuildingExcellence #InnovatingTheFutureOfDesign #ConstructionPH 
‎#EngineeringSolutions
‎#BacolodConstruction
‎#HouseRenovation",2025-10-29T05:41:53+0000,4,1,2
JCMP Engineering Services,114693351675224,114693351675224_703738839437727,"Before & After(on-going)

#JCMPEngineeringServices #BuildingExcellence #InnovatingTheFutureOfDesign #ConstructionPH 
#EngineeringSolutions
#BacolodConstruction 
#houserenovation",2025-10-28T22:45:42+0000,5,0,7
JCMP Engineering Services,114693351675224,114693351675224_702975249514086,"✨ Welcome to JCMP Engineering Services! ✨
Innovating the Future of Design

We’re proud to officially launch our page! 👷‍♂️🏗️
At JCMP Engineering Services, we are dedicated to delivering top-quality construction, structural, and architectural works, along with fit-out, electrical, and plumbing services — for both commercial and residential projects.

Our mission is to build with precision, integrity, and innovation, turning your vision into lasting reality. 💪

Follow our page to see our latest projects, updates, and engineering insights. Let’s build something great together! 🏠✨

#JCMPEngineeringServices #BuildingExcellence #InnovatingTheFutureOfDesign #ConstructionPH 
#EngineeringSolutions",2025-10-28T01:15:49+0000,0,0,0
JCMP Engineering Services,114693351675224,114693351675224_851899567787691,JCMP Engineering Services updated their cover photo.,2025-10-28T01:04:40+0000,1,0,0
JCMP Engineering Services,114693351675224,114693351675224_702967179514893,JCMP Engineering Services updated their profile picture.,2025-10-28T01:00:09+0000,2,0,0
JCMP Engineering Services,114693351675224,114693351675224_804093871383131,JCMP Engineering Services updated their cover photo.,2023-07-02T14:44:34+0000,1,0,0
JCMP Engineering Services,114693351675224,114693351675224_114470351697915,JCMP Engineering Services updated their profile picture.,2023-07-02T14:10:20+0000,1,0,0
